table_id,geography,category,item,sex,age_group,metric_type,value,source_file
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total lifetime mental disorder(a),Males,,rse,3.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total lifetime mental disorder(a),Females,,rse,3.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total lifetime mental disorder(a),Persons,,rse,2.6,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),No lifetime mental disorder,Males,,rse,2.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),No lifetime mental disorder,Females,,rse,2.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),No lifetime mental disorder,Persons,,rse,1.8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total,Males,,rse,0.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total,Females,,rse,0.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total,Persons,,rse,0,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with 12-month symptoms,Males,,proportion,13.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with 12-month symptoms,Females,,proportion,17.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with 12-month symptoms,Persons,,proportion,15.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with no 12-month symptoms,Males,,proportion,9.1,New South Wales - Lifetime and 12-month disorders.xlsx
